,optimizer,base_neurons,layers,activation,loss,metric,eval_metric,Метрика R2
2967,AdaGrad,128,3,relu,MSE,MeanAbsolutePercentageError,29.535362243652344,0.15861983178369676
2968,AdaGrad,128,3,relu,MSE,MAE,6.2910614013671875,0.11879864272179308
2969,AdaGrad,128,3,relu,MSE,MSE,71.01374053955078,-0.014088784628999873
2970,AdaGrad,128,3,relu,Huber,MeanAbsolutePercentageError,52.48846435546875,-1.5610488204202562
2971,AdaGrad,128,3,relu,Huber,MAE,8.615443229675293,-0.5377429350055356
2972,AdaGrad,128,3,relu,Huber,MSE,138.68263244628906,-0.9804124939548609
2973,AdaGrad,128,3,relu,LogCosh,MeanAbsolutePercentageError,52.592411041259766,-1.4154131949367859
2974,AdaGrad,128,3,relu,LogCosh,MAE,8.583205223083496,-0.5083391098448646
2975,AdaGrad,128,3,relu,LogCosh,MSE,129.12548828125,-0.8439348741400827
2976,AdaGrad,128,3,tanh,MAE,MeanAbsolutePercentageError,90.71186828613281,-5.06795976334959
2977,AdaGrad,128,3,tanh,MAE,MAE,19.191974639892578,-4.961679499919985
2978,AdaGrad,128,3,tanh,MAE,MSE,418.7376403808594,-4.979647153779546
2979,AdaGrad,128,3,tanh,MSE,MeanAbsolutePercentageError,98.2265625,-4.492281596228311
2980,AdaGrad,128,3,tanh,MSE,MAE,18.614103317260742,-4.514726790159394
2981,AdaGrad,128,3,tanh,MSE,MSE,375.58917236328125,-4.363479620683216
2982,AdaGrad,128,3,tanh,Huber,MeanAbsolutePercentageError,92.4249496459961,-4.885891957725727
2983,AdaGrad,128,3,tanh,Huber,MAE,19.09343910217285,-4.944392658498192
2984,AdaGrad,128,3,tanh,Huber,MSE,436.312255859375,-5.230616262328122
2985,AdaGrad,128,3,tanh,LogCosh,MeanAbsolutePercentageError,92.97576141357422,-5.131587936971768
2986,AdaGrad,128,3,tanh,LogCosh,MAE,19.451688766479492,-5.122296867156119
2987,AdaGrad,128,3,tanh,LogCosh,MSE,428.7798767089844,-5.123051903567427
2988,AdaGrad,128,3,sigmoid,MAE,MeanAbsolutePercentageError,53.51737976074219,-2.2243782691889438
2989,AdaGrad,128,3,sigmoid,MAE,MAE,14.674367904663086,-3.0566507834605225
2990,AdaGrad,128,3,sigmoid,MAE,MSE,206.83950805664062,-1.9537046135591005
2991,AdaGrad,128,3,sigmoid,MSE,MeanAbsolutePercentageError,59.2338981628418,-2.636746071221769
2992,AdaGrad,128,3,sigmoid,MSE,MAE,12.542339324951172,-2.166022234037302
2993,AdaGrad,128,3,sigmoid,MSE,MSE,210.001220703125,-1.9988545001332065
2994,AdaGrad,128,3,sigmoid,Huber,MeanAbsolutePercentageError,63.542030334472656,-3.045450202122751
2995,AdaGrad,128,3,sigmoid,Huber,MAE,13.614151954650879,-2.61892299454619
2996,AdaGrad,128,3,sigmoid,Huber,MSE,268.7782897949219,-2.8382016065726714
2997,AdaGrad,128,3,sigmoid,LogCosh,MeanAbsolutePercentageError,69.640869140625,-3.5768725145379943
2998,AdaGrad,128,3,sigmoid,LogCosh,MAE,13.614704132080078,-2.621392535823304
2999,AdaGrad,128,3,sigmoid,LogCosh,MSE,261.8056640625,-2.738631117377534
3000,AdaGrad,128,4,linear,MAE,MeanAbsolutePercentageError,65.28218841552734,-1.6938626229909115
3001,AdaGrad,128,4,linear,MAE,MAE,12.434186935424805,-2.1602282289413166
3002,AdaGrad,128,4,linear,MAE,MSE,135.8118438720703,-0.9394172537090064
3003,AdaGrad,128,4,linear,MSE,MeanAbsolutePercentageError,46.22275924682617,-0.45668946436543467
3004,AdaGrad,128,4,linear,MSE,MAE,9.043889045715332,-0.7190197314523703
3005,AdaGrad,128,4,linear,MSE,MSE,131.91009521484375,-0.8836993885188489
3006,AdaGrad,128,4,linear,Huber,MeanAbsolutePercentageError,56.92241287231445,-1.0200613838759613
3007,AdaGrad,128,4,linear,Huber,MAE,10.118279457092285,-1.3587346959211244
3008,AdaGrad,128,4,linear,Huber,MSE,116.1567611694336,-0.6587390977766199
3009,AdaGrad,128,4,linear,LogCosh,MeanAbsolutePercentageError,47.29183578491211,-0.7362747822139706
3010,AdaGrad,128,4,linear,LogCosh,MAE,10.239313125610352,-0.9566079648410692
3011,AdaGrad,128,4,linear,LogCosh,MSE,148.57484436035156,-1.1216752036424742
3012,AdaGrad,128,4,elu,MAE,MeanAbsolutePercentageError,21.75606346130371,0.3762591121735326
3013,AdaGrad,128,4,elu,MAE,MAE,5.1695966720581055,0.26278180091206016
3014,AdaGrad,128,4,elu,MAE,MSE,37.374698638916016,0.4662827144912195
3015,AdaGrad,128,4,elu,MSE,MeanAbsolutePercentageError,22.83340072631836,0.4164422236654176
3016,AdaGrad,128,4,elu,MSE,MAE,4.543212890625,0.37794331764544487
3017,AdaGrad,128,4,elu,MSE,MSE,38.482139587402344,0.45046819839179086
3018,AdaGrad,128,4,elu,Huber,MeanAbsolutePercentageError,21.34218978881836,0.4497077736598525
3019,AdaGrad,128,4,elu,Huber,MAE,3.991344690322876,0.44768433826544174
3020,AdaGrad,128,4,elu,Huber,MSE,43.09208297729492,0.38463747777527124
3021,AdaGrad,128,4,elu,LogCosh,MeanAbsolutePercentageError,19.082569122314453,0.4673834629561546
3022,AdaGrad,128,4,elu,LogCosh,MAE,4.508970737457275,0.34133384629629515
3023,AdaGrad,128,4,elu,LogCosh,MSE,36.529335021972656,0.47835461793535194
3024,AdaGrad,128,4,relu,MAE,MeanAbsolutePercentageError,23.748292922973633,0.49213726334136265
